           0.       3.69541         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      111.7566         INDEF      113.9538         INDEF    -0.7802438         INDEF         INDEF            0.     -1.419157         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF
    0.7253506      3.100209    0.01791462    0.09134702     0.0645921     0.3494293    0.05203044      89.65952      5.338442      111.6551    0.02901485      113.9257    0.01947879     -1.051851     0.3494452     0.3322193     0.9228625     -1.228477   0.006292078   0.006255897       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02400511    0.01692268    0.09984414    0.03616166    -0.0152313    0.01199812   -0.02832089    0.01407537          13           0          50           2   0.005224866            2.
    0.7326041      3.092619    0.01773127     0.0904121    0.06393101     0.3494293    0.05097695      89.65952      5.230351      111.6551    0.02871165      113.9257    0.01927524     -1.051795     0.3471757      0.330079     0.9251611     -1.225816   0.006242845    0.00620719       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02264665    0.01648712    0.09793884    0.03530041   -0.01403519     0.0113856   -0.02938092    0.01393615          13           0          11           0   0.005308818            2.
    0.7399302       3.08029    0.01598998    0.08153321    0.05765268     0.3391679     0.0469746     -89.42909       4.93484      111.6441     0.0263066      113.9195    0.01794014     -1.035289      0.316701      0.305906     0.9274653     -1.221479   0.005650834   0.005621545       3.69541       3.69541     -1.419157     -1.419157           1           1    0.01577904    0.01439252    -0.0895659    0.03036203  -0.008544837    0.01332431   -0.00828337    0.01282547          13           0          10           0   0.004438469            2.
    0.7473295      3.064188    0.01658448     0.0845646     0.0597962     0.3244137    0.04794921      89.90692      5.219945      111.6496    0.02652932        113.92    0.01849445     -1.065424     0.3215792     0.3018322     0.9297754     -1.215788   0.005892371   0.005860469       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02222183    0.01502836    0.08808657    0.02958502   -0.01012655   0.009641175   -0.02898553     0.0124082          13           0          10           0   0.004299569            2.
    0.7548028      3.050801    0.01627246    0.08297357    0.05867117     0.3139703    0.04703214      89.86405      5.257647      111.6511    0.02588203      113.9172    0.01832216     -1.070653     0.3152608     0.2944566     0.9320911     -1.211035   0.005806657   0.005775784       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02174141     0.0140866    0.08562548    0.02796927  -0.008028549   0.008908393   -0.02723195    0.01151563          13           0          11           0   0.003642561            2.
    0.7623508      3.039443    0.01517433    0.07737418    0.05471181     0.3041705    0.04425882     -89.38927      5.077513      111.6381    0.02425233      113.9125    0.01741506     -1.064424     0.2999303      0.281777     0.9344127     -1.206985    0.00543412   0.005407024       3.69541       3.69541     -1.419157     -1.419157           1           1    0.01942591    0.01385748   -0.07808046    0.02519806   -0.01159806    0.01234813  -0.008937022    0.01173219          13           0          11           0   0.004514399            2.
    0.7699743      3.016437    0.01479034    0.07541626    0.05332735     0.2782078    0.04226016      89.90693      5.220734      111.6397    0.02254802        113.91    0.01679403     -1.115492     0.2787083     0.2498523       0.93674     -1.198736   0.005336673   0.005310649       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02027416    0.01283334    0.07110333    0.02109619   -0.00312547   0.007733587   -0.02725159    0.01005874          13           0          50           2   0.004326821            2.
     0.777674      3.002926    0.01447038    0.07378475     0.0521737     0.2679148    0.04098016      89.90693      5.225865      111.6397    0.02177323       113.907    0.01644822     -1.132071     0.2716032     0.2399172     0.9390731     -1.193862   0.005244521   0.005219334       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01970911    0.01242417    0.06754998     0.0196352  -0.001380864   0.007588818   -0.02637559    0.00965762          13           0          50           2   0.003797087            2.
    0.7854508      2.989757    0.01420524     0.0724328    0.05121772     0.2584977    0.03983255      89.90693        5.2361      111.6397    0.02110367      113.9041    0.01614748     -1.147422     0.2659129     0.2317481      0.941412      -1.18909   0.005170939   0.005146445       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01912845    0.01218601    0.06423941    0.01848219   2.137279E-4   0.007593096   -0.02573647   0.009431856          13           0          50           2   0.003294175            2.
    0.7933053      2.976361    0.01380677    0.07040098    0.04978101     0.2486543    0.03811123      89.90693      5.178877      111.6354    0.02012644      113.9014    0.01560418     -1.167904     0.2575807     0.2205496     0.9437568     -1.184214   0.005048261   0.005024893       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01819689    0.01230005    0.05905278    0.01718965     0.0018066     0.0076321   -0.02664362   0.009397948          13           0          50           2   0.003772297            2.
    0.8012383      2.962871    0.01357212    0.06920448    0.04893496     0.2395906    0.03723851      89.90693      5.224675      111.6354    0.01962546      113.8989    0.01539932     -1.179226     0.2533349     0.2148315     0.9461074     -1.179282    0.00498493   0.004962146       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01812215    0.01218609    0.05623854    0.01643515   0.002762432   0.007735088   -0.02595343   0.009282516          13           0          50           2   0.002797715            2.
    0.8092507      2.949309    0.01328729    0.06775216    0.04790801     0.2322984    0.03638623      89.90693      5.243635      111.6354    0.01918408      113.8989    0.01519734     -1.181872     0.2503007     0.2117833     0.9484638     -1.174301    0.00490251    0.00488053       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01853163    0.01185237    0.05408205    0.01573635   0.002592497   0.007615324   -0.02479842   0.009000258          13           0          13           0   0.002187426            2.
    0.8173432      2.934164    0.01292065    0.06588264    0.04658606       0.22205    0.03539529      89.51586      5.305492      111.6349    0.01859972       113.895    0.01493158      -1.18619     0.2426748     0.2045834     0.9508261     -1.168711   0.004791575   0.004770584       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01980472    0.01114129    0.05185494     0.0145885   0.002449739   0.007001137   -0.02318893     0.0082257          13           0          10           0   1.120522E-4            2.
    0.8255166      2.918504    0.01246905    0.06357991    0.04495778     0.2116928     0.0341458      88.94639      5.337521      111.6343    0.01788366       113.893    0.01454949     -1.190414     0.2341727     0.1967153     0.9531943     -1.162901   0.004648605   0.004628878       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02008153     0.0101797    0.04977922     0.0133356   0.002404414   0.006289511   -0.02104659   0.007318775          13           0          10           0   9.303644E-5            2.
    0.8337718      2.903016    0.01210286     0.0617127    0.04363747     0.2016599    0.03312605      88.40396      5.405412      111.6338    0.01730168      113.8908    0.01425751     -1.194272     0.2272354      0.190271     0.9555684     -1.157124   0.004535947   0.004517099       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02037951   0.009494107    0.04776273    0.01234948   0.002279007   0.005936835   -0.01907483    0.00675544          13           0          10           0   8.888801E-5            2.
    0.8421095      2.887584    0.01180695    0.06020386    0.04257056     0.1918189    0.03229473       87.8644      5.509965      111.6333    0.01682725      113.8887     0.0140404     -1.197872     0.2215985     0.1849935     0.9579484     -1.151337   0.004448534   0.004430391       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02061199   0.009054823    0.04579188    0.01159991   0.002100369    0.00592427   -0.01718585   0.006516716          13           0          10           0   8.559234E-5            2.
    0.8505306      2.872227      0.011594    0.05911801    0.04180275     0.1822052    0.03168172      87.34782      5.660485      111.6328    0.01647532      113.8866    0.01391341     -1.201141     0.2174091     0.1810022     0.9603344     -1.145547   0.004391592   0.004373841       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02082155   0.008891043    0.04386355    0.01110888   0.001856369   0.006234628    -0.0154157   0.006608711          13           0          10           0   8.396101E-5            2.
    0.8590358      2.857009    0.01146161    0.05844299    0.04132544     0.1729065    0.03128567      86.80641      5.860355      111.6323    0.01624548      113.8844     0.0138789     -1.204102     0.2144016     0.1780593     0.9627263     -1.139779   0.004364425   0.004346943       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02097448   0.008968641    0.04201738    0.01085704   0.001563858   0.006786582   -0.01370455   0.006966497          13           0          10           0   1.509535E-4            2.
    0.8676262      2.841844    0.01141005    0.05818008    0.04113952      0.163817    0.03110891      86.30201      6.120127      111.6318    0.01613611      113.8823    0.01394037     -1.206758       0.21277     0.1763154     0.9651241     -1.134001   0.004368046   0.004350458       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02111355   0.009278683    0.04019425    0.01083862   0.001213065    0.00751159    -0.0121113   0.007534318          13           0          10           0   1.176142E-4            2.
    0.8763024      2.826623    0.01143297    0.05829695    0.04122217     0.1547474    0.03113004       85.8648      6.451358      111.6314    0.01613208      113.8803     0.0140908     -1.209315     0.2123677       0.17561     0.9675279      -1.12817    0.00440044   0.004382597       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02132285   0.009758904    0.03834724     0.0109982   7.990522E-4   0.008310576   -0.01069502    0.00821363          13           0          10           0   1.290927E-4            2.
    0.8850654      2.811687    0.01154721    0.05887946    0.04163406     0.1461981    0.03139075      85.32968      6.854049       111.631    0.01626339      113.8779    0.01435288     -1.211435     0.2128988      0.175741     0.9699377     -1.122417   0.004468189    0.00444989       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02139879     0.0103909    0.03664465    0.01135024   3.462288E-4   0.009221751  -0.009205515   0.009020038          13           0          10           0   2.861625E-4            2.
    0.8939161      2.796603    0.01171027    0.05971087    0.04222196     0.1376245    0.03178509      84.87273      7.338561      111.6304    0.01646555      113.8758    0.01467989     -1.213448     0.2144181     0.1767014     0.9723535     -1.116577   0.004555798   0.004536824       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02151223    0.01109951    0.03485582     0.0117975  -1.794682E-4    0.01012402  -0.007905263   0.009841791          13           0          10           0   2.226234E-4            2.
